date,Average
20210712,17.4
20210713,17.5
20210714,17.5
20210715,17.6
20210716,17.6
20210717,17.7
20210718,17.7
20210719,17.8
20210720,17.8
20210721,17.9
20210722,17.9
20210723,18
20210724,18
20210725,18
20210726,18.1
20210727,18.1
20210728,18.1
20210729,18.1
20210730,18.1
20210731,18.1
20210801,18.1
20210802,18.1
20210803,18.1
20210804,18.1
20210805,18
20210806,18
20210807,18
20210808,17.9
20210809,17.9
20210810,17.9
20210811,17.8
20210812,17.8
20210813,17.7
20210814,17.7
20210815,17.6
20210816,17.6
20210817,17.5
20210818,17.4
20210819,17.4
20210820,17.3
20210821,17.3
20210822,17.2
20210823,17.1
20210824,17
20210825,17
20210826,16.9
20210827,16.8
20210828,16.7
20210829,16.6
20210830,16.5
20210831,16.5
20210901,16.4
20210902,16.3
20210903,16.2
20210904,16.1
20210905,16
20210906,15.9
20210907,15.8
20210908,15.8
20210909,15.7
20210910,15.6
20210911,15.5
20210912,15.4
20210913,15.3
20210914,15.2
20210915,15.1
20210916,15
20210917,14.9
20210918,14.8
20210919,14.7
20210920,14.6
20210921,14.5
20210922,14.4
20210923,14.3
20210924,14.2
20210925,14.1
20210926,14
20210927,13.9
20210928,13.8
20210929,13.7
20210930,13.6
20211001,13.5
20211002,13.3
20211003,13.2
20211004,13.1
20211005,12.9
20211006,12.8
20211007,12.7
20211008,12.6
20211009,12.4
20211010,12.3
20211011,12.2
20211012,12.1
20211013,11.9
20211014,11.8
20211015,11.7
20211016,11.6
20211017,11.5
20211018,11.4
20211019,11.3
20211020,11.2
20211021,11.1
20211022,11
20211023,10.9
20211024,10.8
20211025,10.8
20211026,10.7
20211027,10.6
20211028,10.5
20211029,10.4
20211030,10.3
20211031,10.9
20211101,10.8
20211102,10.6
20211103,10.4
20211104,10.3
20211105,10.1
20211106,9.9
20211107,9.8
20211108,9.6
20211109,9.4
20211110,9.3
20211111,9.1
20211112,9
20211113,8.8
20211114,8.7
20211115,8.5
20211116,8.4
20211117,8.2
20211118,8.1
20211119,8
20211120,7.9
20211121,7.8
20211122,7.7
20211123,7.6
20211124,7.5
20211125,7.5
20211126,7.4
20211127,7.3
20211128,7.3
20211129,7.2
20211130,7.1
20211201,7.1
20211202,7
20211203,6.9
20211204,6.8
20211205,6.7
20211206,6.6
20211207,6.5
20211208,6.4
20211209,6.3
20211210,6.2
20211211,6.2
20211212,6.1
20211213,6
20211214,6
20211215,5.9
